72_48_48  165888  63007  100   896.8990  1020.3300  1020.3300  5.7048
72_48_48  165888  63007  200   87.0104   83.7257    83.7257    5.7604
72_48_48  165888  63007  300   28.8070   26.8035    26.8035    5.8231
72_48_48  165888  63007  400   14.5195   13.8941    13.8941    5.8904
72_48_48  165888  63007  500   9.0668    8.9964     8.9964     5.9612
72_48_48  165888  63007  600   6.4221    6.5754     6.5754     6.0349
72_48_48  165888  63007  700   4.9183    5.1627     5.1627     6.1111
72_48_48  165888  63007  800   3.9585    4.2363     4.2363     6.1894
72_48_48  165888  63007  900   3.2900    3.5743     3.5743     6.2697
72_48_48  165888  63007  1000  2.7927    3.0700     3.0700     6.3520
