omega (eV),epsilon 1,epsilon 2,n,k,alpha (1/m)
0.00E+00,9.28E+00,0,3.04682,0,0
1.00E-02,9.28E+00,0,3.04682,0,0
2.00E-02,9.28E+00,0,3.04683,0,0
3.00E-02,9.28E+00,0,3.04685,0,0
4.00E-02,9.28E+00,0,3.04688,0,0
5.00E-02,9.28E+00,0,3.04692,0,0
6.00E-02,9.28E+00,0,3.04696,0,0
7.00E-02,9.28E+00,0,3.04701,0,0
8.00E-02,9.28E+00,0,3.04707,0,0
9.00E-02,9.29E+00,0,3.04714,0,0
1.00E-01,9.29E+00,0,3.04722,0,0
1.10E-01,9.29E+00,0,3.0473,0,0
1.20E-01,9.29E+00,0,3.04739,0,0
1.30E-01,9.29E+00,0,3.04749,0,0
1.40E-01,9.29E+00,0,3.0476,0,0
1.50E-01,9.29E+00,0,3.04771,0,0
1.60E-01,9.29E+00,0,3.04784,0,0
1.70E-01,9.29E+00,0,3.04797,0,0
1.80E-01,9.29E+00,0,3.04811,0,0
1.90E-01,9.29E+00,0,3.04826,0,0
2.00E-01,9.29E+00,0,3.04841,0,0
2.10E-01,9.29E+00,0,3.04858,0,0
2.20E-01,9.29E+00,0,3.04875,0,0
2.30E-01,9.30E+00,0,3.04893,0,0
2.40E-01,9.30E+00,0,3.04912,0,0
2.50E-01,9.30E+00,0,3.04932,0,0
2.60E-01,9.30E+00,0,3.04952,0,0
2.70E-01,9.30E+00,0,3.04973,0,0
2.80E-01,9.30E+00,0,3.04995,0,0
2.90E-01,9.30E+00,0,3.05018,0,0
3.00E-01,9.31E+00,0,3.05042,0,0
3.10E-01,9.31E+00,0,3.05066,0,0
3.20E-01,9.31E+00,0,3.05092,0,0
3.30E-01,9.31E+00,0,3.05118,0,0
3.40E-01,9.31E+00,0,3.05145,0,0
3.50E-01,9.31E+00,0,3.05172,0,0
3.60E-01,9.31E+00,0,3.05201,0,0
3.70E-01,9.32E+00,0,3.0523,0,0
3.80E-01,9.32E+00,0,3.0526,0,0
3.90E-01,9.32E+00,0,3.05291,0,0
4.00E-01,9.32E+00,0,3.05323,0,0
4.10E-01,9.32E+00,0,3.05356,0,0
4.20E-01,9.33E+00,0,3.05389,0,0
4.30E-01,9.33E+00,0,3.05424,0,0
4.40E-01,9.33E+00,0,3.05459,0,0
4.50E-01,9.33E+00,0,3.05495,0,0
4.60E-01,9.33E+00,0,3.05531,0,0
4.70E-01,9.34E+00,0,3.05569,0,0
4.80E-01,9.34E+00,0,3.05607,0,0
4.90E-01,9.34E+00,0,3.05647,0,0
5.00E-01,9.34E+00,0,3.05687,0,0
5.10E-01,9.35E+00,0,3.05728,0,0
5.20E-01,9.35E+00,0,3.05769,0,0
5.30E-01,9.35E+00,0,3.05812,0,0
5.40E-01,9.35E+00,0,3.05855,0,0
5.50E-01,9.36E+00,0,3.059,0,0
5.60E-01,9.36E+00,0,3.05945,0,0
5.70E-01,9.36E+00,0,3.05991,0,0
5.80E-01,9.37E+00,0,3.06037,0,0
5.90E-01,9.37E+00,0,3.06085,0,0
6.00E-01,9.37E+00,0,3.06133,0,0
6.10E-01,9.37E+00,0,3.06183,0,0
6.20E-01,9.38E+00,0,3.06233,0,0
6.30E-01,9.38E+00,0,3.06284,0,0
6.40E-01,9.38E+00,0,3.06336,0,0
6.50E-01,9.39E+00,0,3.06388,0,0
6.60E-01,9.39E+00,0,3.06442,0,0
6.70E-01,9.39E+00,0,3.06496,0,0
6.80E-01,9.40E+00,0,3.06551,0,0
6.90E-01,9.40E+00,0,3.06608,0,0
7.00E-01,9.40E+00,0,3.06665,0,0
7.10E-01,9.41E+00,0,3.06722,0,0
7.20E-01,9.41E+00,0,3.06781,0,0
7.30E-01,9.42E+00,0,3.06841,0,0
7.40E-01,9.42E+00,0,3.06901,0,0
7.50E-01,9.42E+00,0,3.06963,0,0
7.60E-01,9.43E+00,0,3.07025,0,0
7.70E-01,9.43E+00,0,3.07088,0,0
7.80E-01,9.43E+00,0,3.07152,0,0
7.90E-01,9.44E+00,0,3.07217,0,0
8.00E-01,9.44E+00,0,3.07282,0,0
8.10E-01,9.45E+00,0,3.07349,0,0
8.20E-01,9.45E+00,0,3.07416,0,0
8.30E-01,9.45E+00,0,3.07485,0,0
8.40E-01,9.46E+00,0,3.07554,0,0
8.50E-01,9.46E+00,0,3.07624,0,0
8.60E-01,9.47E+00,0,3.07695,0,0
8.70E-01,9.47E+00,0,3.07767,0,0
8.80E-01,9.48E+00,0,3.0784,0,0
8.90E-01,9.48E+00,0,3.07914,0,0
9.00E-01,9.49E+00,0,3.07989,0,0
9.10E-01,9.49E+00,0,3.08064,0,0
9.20E-01,9.50E+00,0,3.08141,0,0
9.30E-01,9.50E+00,0,3.08218,0,0
9.40E-01,9.50E+00,0,3.08297,0,0
9.50E-01,9.51E+00,0,3.08376,0,0
9.60E-01,9.51E+00,0,3.08456,0,0
9.70E-01,9.52E+00,0,3.08537,0,0
9.80E-01,9.52E+00,0,3.08619,0,0
9.90E-01,9.53E+00,0,3.08702,0,0
1.00E+00,9.53E+00,0,3.08786,0,0
1.01E+00,9.54E+00,0,3.08871,0,0
1.02E+00,9.55E+00,0,3.08957,0,0
1.03E+00,9.55E+00,0,3.09043,0,0
1.04E+00,9.56E+00,0,3.09131,0,0
1.05E+00,9.56E+00,0,3.0922,0,0
1.06E+00,9.57E+00,0,3.09309,0,0
1.07E+00,9.57E+00,0,3.094,0,0
1.08E+00,9.58E+00,0,3.09491,0,0
1.09E+00,9.58E+00,0,3.09584,0,0
1.10E+00,9.59E+00,0,3.09677,0,0
1.11E+00,9.60E+00,0,3.09772,0,0
1.12E+00,9.60E+00,0,3.09867,0,0
1.13E+00,9.61E+00,0,3.09964,0,0
1.14E+00,9.61E+00,0,3.10061,0,0
1.15E+00,9.62E+00,0,3.10159,0,0
1.16E+00,9.63E+00,0,3.10259,0,0
1.17E+00,9.63E+00,0,3.10359,0,0
1.18E+00,9.64E+00,0,3.1046,0,0
1.19E+00,9.64E+00,0,3.10563,0,0
1.20E+00,9.65E+00,0,3.10666,0,0
1.21E+00,9.66E+00,0,3.1077,0,0
1.22E+00,9.66E+00,0,3.10876,0,0
1.23E+00,9.67E+00,0,3.10982,0,0
1.24E+00,9.68E+00,0,3.11089,0,0
1.25E+00,9.68E+00,0,3.11198,0,0
1.26E+00,9.69E+00,0,3.11307,0,0
1.27E+00,9.70E+00,0,3.11418,0,0
1.28E+00,9.71E+00,0,3.11529,0,0
1.29E+00,9.71E+00,0,3.11642,0,0
1.30E+00,9.72E+00,0,3.11755,0,0
1.31E+00,9.73E+00,0,3.1187,0,0
1.32E+00,9.73E+00,0,3.11986,0,0
1.33E+00,9.74E+00,0,3.12102,0,0
1.34E+00,9.75E+00,0,3.1222,0,0
1.35E+00,9.76E+00,0,3.12339,0,0
1.36E+00,9.76E+00,0,3.12459,0,0
1.37E+00,9.77E+00,0,3.1258,0,0
1.38E+00,9.78E+00,0,3.12702,0,0
1.39E+00,9.79E+00,0,3.12826,0,0
1.40E+00,9.79E+00,0,3.1295,0,0
1.41E+00,9.80E+00,0,3.13075,0,0
1.42E+00,9.81E+00,0,3.13202,0,0
1.43E+00,9.82E+00,0,3.13329,0,0
1.44E+00,9.83E+00,0,3.13458,0,0
1.45E+00,9.83E+00,0,3.13588,0,0
1.46E+00,9.84E+00,0,3.13719,0,0
1.47E+00,9.85E+00,0,3.13851,0,0
1.48E+00,9.86E+00,0,3.13984,0,0
1.49E+00,9.87E+00,0,3.14119,0,0
1.50E+00,9.88E+00,0,3.14254,0,0
1.51E+00,9.88E+00,0,3.14391,0,0
1.52E+00,9.89E+00,0,3.14529,0,0
1.53E+00,9.90E+00,0,3.14668,0,0
1.54E+00,9.91E+00,0,3.14808,0,0
1.55E+00,9.92E+00,0,3.14949,0,0
1.56E+00,9.93E+00,0,3.15092,0,0
1.57E+00,9.94E+00,0,3.15236,0,0
1.58E+00,9.95E+00,0,3.1538,0,0
1.59E+00,9.96E+00,0,3.15527,0,0
1.60E+00,9.97E+00,0,3.15674,0,0
1.61E+00,9.97E+00,0,3.15822,0,0
1.62E+00,9.98E+00,0,3.15972,0,0
1.63E+00,9.99E+00,0,3.16123,0,0
1.64E+00,1.00E+01,0,3.16275,0,0
1.65E+00,1.00E+01,0,3.16429,0,0
1.66E+00,1.00E+01,0,3.16584,0,0
1.67E+00,1.00E+01,0,3.16739,0,0
1.68E+00,1.00E+01,0,3.16897,0,0
1.69E+00,1.01E+01,0,3.17055,0,0
1.70E+00,1.01E+01,0,3.17215,0,0
1.71E+00,1.01E+01,0,3.17376,0,0
